STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Frequency,reporter,REPORTER,partner,PARTNER,product,PRODUCT,flow,FLOW,indicators,INDICATORS,TIME_PERIOD,TIME_PERIOD,OBS_VALUE,Observation Value
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853951,"Light-emitting diode ""LED"" light source modules",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2022,,139430110,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853951,"Light-emitting diode ""LED"" light source modules",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2023,,198672522,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853951,"Light-emitting diode ""LED"" light source modules",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2024,,212745489,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853951,"Light-emitting diode ""LED"" light source modules",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2025,,202678503,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2022,,74151.72,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2023,,31572.66,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2024,,26424.07,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2025,,28793.01,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2022,,1412379039,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2023,,1191660510,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2024,,1157058891,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2025,,1111334456,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2022,,25354.72,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2023,,13958.42,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2024,,12784.02,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),854141,"Light emitting diodes ""LED""",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2025,,7543.13,
